File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['7\n13', '0\n1', '5\n1 6 8', '4\n2 10', '4\n6', '3\n4 6 8', '3\n9', '2\n7', '3\n9', '5\n4 5 6 11', '7\n11 13', '5\n4 6 9 10', '2\n1', '3\n10', '3\n9']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['7\n13', '0\n1', '5\n1 6 8', '4\n2 10', '4\n6', '3\n4 6 8', '3\n9', '2\n7', '3\n9', '5\n4 5 6 11', '7\n11 13', '5\n4 6 9 10', '2\n1', '3\n10', '3\n9']","['0\n1 2 3 4 5 6 7 8 9 10 11 12 13 14 15', '0\n1 2', '0\n1 2 3 4 5 6 7 8 9 10 11 12', '0\n1 2 3 4 5 6 7 8 9 10 11 12 13', '0\n1 2 3 4 5 6 7 8 9 10', '0\n1 2 3 4 5 6 7 8', '0\n1 2 3 4 5 6 7 8 9 10', '0\n1 2 3 4 5 6 7 8 9 10', '0\n1 2 3 4 5 6 7 8 9 10 11 12 13 14', '0\n1 2 3 4 5 6 7 8 9 10 11', '0\n1 2 3 4 5 6 7 8 9 10 11 12 13 14 15', '0\n1 2 3 4 5 6 7 8 9 10', '0\n1 2 3 4 5 6 7 8', '0\n1 2 3 4 5 6 7 8 9 10', '0\n1 2 3 4 5 6 7 8 9 10 11 12 13 14']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.0,"['7\n13', '0\n1', '5\n1 6 8', '4\n2 10', '4\n6', '3\n4 6 8', '3\n9', '2\n7', '3\n9', '5\n4 5 6 11', '7\n11 13', '5\n4 6 9 10', '2\n1', '3\n10', '3\n9']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['7\n13', '0\n1', '5\n1 6 8', '4\n2 10', '4\n6', '3\n4 6 8', '3\n9', '2\n7', '3\n9', '5\n4 5 6 11', '7\n11 13', '5\n4 6 9 10', '2\n1', '3\n10', '3\n9']","['211\n1 2 3 4 5 6 7 8 9 10 11 12 13 14 15', '3\n1 2', '133\n1 2 3 4 5 6 7 8 9 10 11 12', '157\n1 2 3 4 5 6 7 8 9 10 11 12 13', '91\n1 2 3 4 5 6 7 8 9 10', '57\n1 2 3 4 5 6 7 8', '91\n1 2 3 4 5 6 7 8 9 10', '91\n1 2 3 4 5 6 7 8 9 10', '183\n1 2 3 4 5 6 7 8 9 10 11 12 13 14', '111\n1 2 3 4 5 6 7 8 9 10 11', '211\n1 2 3 4 5 6 7 8 9 10 11 12 13 14 15', '91\n1 2 3 4 5 6 7 8 9 10', '57\n1 2 3 4 5 6 7 8', '91\n1 2 3 4 5 6 7 8 9 10', '183\n1 2 3 4 5 6 7 8 9 10 11 12 13 14']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['7\n13', '0\n1', '5\n1 6 8', '4\n2 10', '4\n6', '3\n4 6 8', '3\n9', '2\n7', '3\n9', '5\n4 5 6 11', '7\n11 13', '5\n4 6 9 10', '2\n1', '3\n10', '3\n9']","['0\n15', '0\n2', '0\n12', '0\n13', '0\n10', '0\n8', '0\n10', '0\n10', '0\n14', '0\n11', '0\n15', '0\n10', '0\n8', '0\n10', '0\n14']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_68.py,0.0,"['7\n13', '0\n1', '5\n1 6 8', '4\n2 10', '4\n6', '3\n4 6 8', '3\n9', '2\n7', '3\n9', '5\n4 5 6 11', '7\n11 13', '5\n4 6 9 10', '2\n1', '3\n10', '3\n9']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['7\n13', '0\n1', '5\n1 6 8', '4\n2 10', '4\n6', '3\n4 6 8', '3\n9', '2\n7', '3\n9', '5\n4 5 6 11', '7\n11 13', '5\n4 6 9 10', '2\n1', '3\n10', '3\n9']","['-1\n1\n3\n5\n9\n10\n11\n13\n14\n7\n4\n2\n8\n15\n6\n12', '-1\n1\n2', '-1\n1\n3\n6\n8\n11\n2\n10\n9\n7\n4\n12\n5', '-1\n2\n10\n11\n8\n7\n6\n12\n5\n3\n13\n1\n4\n9', '-1\n4\n6\n7\n9\n10\n2\n3\n8\n5\n1', '-1\n1\n4\n6\n8\n3\n5\n7\n2', '-1\n1\n2\n7\n9\n5\n4\n6\n3\n8\n10', '-1\n2\n6\n7\n5\n10\n4\n9\n1\n8\n3', '-1\n8\n9\n11\n13\n12\n4\n10\n7\n5\n1\n14\n2\n3\n6', '-1\n1\n4\n5\n6\n11\n9\n7\n3\n10\n8\n2', '-1\n3\n5\n9\n10\n11\n13\n14\n1\n7\n4\n2\n8\n15\n6\n12', '-1\n4\n6\n7\n9\n10\n2\n3\n8\n5\n1', '-1\n1\n6\n8\n4\n7\n3\n5\n2', '-1\n2\n6\n7\n10\n5\n1\n4\n9\n3\n8', '-1\n8\n9\n11\n13\n12\n4\n10\n7\n14\n5\n1\n2\n3\n6']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['7\n13', '0\n1', '5\n1 6 8', '4\n2 10', '4\n6', '3\n4 6 8', '3\n9', '2\n7', '3\n9', '5\n4 5 6 11', '7\n11 13', '5\n4 6 9 10', '2\n1', '3\n10', '3\n9']","['inf', 'inf', 'inf', 'inf', 'inf', 'inf', 'inf', 'inf', 'inf', 'inf', 'inf', 'inf', 'inf', 'inf', 'inf']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_69.py,0.0,"['7\n13', '0\n1', '5\n1 6 8', '4\n2 10', '4\n6', '3\n4 6 8', '3\n9', '2\n7', '3\n9', '5\n4 5 6 11', '7\n11 13', '5\n4 6 9 10', '2\n1', '3\n10', '3\n9']","['2\n11', '1\n1', '1\n2\n3', '1\n2', '1\n5', '1\n1\n2\n5', '1\n1\n2\n3\n5', '1\n1\n6', '1\n2\n8', '1\n7', '2\n11', '1\n1\n5', '1\n2\n5', '1\n1\n6', '1\n2\n4\n8']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_49.py,0.0,"['7\n13', '0\n1', '5\n1 6 8', '4\n2 10', '4\n6', '3\n4 6 8', '3\n9', '2\n7', '3\n9', '5\n4 5 6 11', '7\n11 13', '5\n4 6 9 10', '2\n1', '3\n10', '3\n9']","['3\n2 4 6 8 12', '1\n2', '3\n7 9', '4\n3 11', '3\n7', '2\n5', '2\n6 8', '3\n3 7 8', '3\n10 11', '4\n5 6 7', '4\n12 14', '2\n5 7 10', '3\n2', '3\n3 7 8', '3\n10 11']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
